"customer_key","customer_number","customer_name","age","age_group","customer_segment","last_order_date","recency","total_orders","total_sales","total_quantity","total_products","lifespan","avg_order_value","avg_monthly_spend"
35,"AW00011034","Ebony Gonzalez","72","50 and above","VIP","2013-11-10","137","3","97365","60","4","33","32455","2950.4545454545454545"
36,"AW00011035","Wendy Dominguez","71","50 and above","VIP","2013-11-15","137","3","96765","75","5","33","32255","2932.2727272727272727"
37,"AW00011036","Jennifer Russell","40","40-49","New","2013-01-22","147","1","35325","30","2","0","35325","35325"
38,"AW00011037","Chloe Garcia","41","40-49","New","2013-01-20","147","1","35610","105","7","0","35610","35610"
39,"AW00011038","Diana Hernandez","71","50 and above","VIP","2013-11-12","137","3","96555","45","3","33","32185","2925.9090909090909091"
40,"AW00011039","Marc Martin","70","50 and above","VIP","2013-11-11","137","3","99540","135","8","33","33180","3016.3636363636363636"
41,"AW00011040","Jesse Murphy","42","40-49","New","2013-04-03","144","1","35265","45","3","0","35265","35265"
42,"AW00011041","Amanda Carter","42","40-49","New","2013-01-14","147","1","35715","45","3","0","35715","35715"
43,"AW00011042","Megan Sanchez","42","40-49","New","2013-10-17","138","2","46680","45","3","8","23340","5835.0000000000000000"
44,"AW00011043","Nathan Simmons","43","40-49","New","2013-08-18","140","2","720","45","3","3","360","240.0000000000000000"
45,"AW00011044","Adam Flores","70","50 and above","VIP","2013-11-08","137","3","97725","105","7","32","32575","3053.9062500000000000"
46,"AW00011045","Leonard Nara","69","50 and above","New","2013-10-29","138","2","1725","60","4","6","862","287.5000000000000000"
47,"AW00011046","Christine Yuan","69","50 and above","VIP","2013-11-12","137","3","99240","90","6","33","33080","3007.2727272727272727"
48,"AW00011047","Jaclyn Lu","69","50 and above","VIP","2013-11-19","137","3","98730","60","4","33","32910","2991.8181818181818182"
49,"AW00011048","Jeremy Powell","68","50 and above","VIP","2013-12-25","136","3","97470","120","8","34","32490","2866.7647058823529412"
50,"AW00011049","Carol Rai","39","30-39","New","2013-10-29","138","2","1215","75","5","7","607","173.5714285714285714"
51,"AW00011050","Alan Zheng","68","50 and above","VIP","2013-11-19","137","3","75105","90","6","32","25035","2347.0312500000000000"
52,"AW00011051","Daniel Johnson","68","50 and above","New","2014-01-01","135","2","1860","75","5","0","930","1860"
53,"AW00011052","Heidi Lopez","68","50 and above","VIP","2013-05-27","143","3","121965","105","7","27","40655","4517.2222222222222222"
54,"AW00011053","Ana Price","39","30-39","New","2013-01-17","147","1","34950","30","2","0","34950","34950"
55,"AW00011054","Deanna Munoz","67","50 and above","VIP","2013-05-30","143","3","123345","90","6","27","41115","4568.3333333333333333"
56,"AW00011055","Gilbert Raje","67","50 and above","VIP","2013-06-07","142","3","122520","120","8","28","40840","4375.7142857142857143"
57,"AW00011056","Michele Nath","66","50 and above","VIP","2013-05-31","142","3","123105","120","8","27","41035","4559.4444444444444444"
58,"AW00011057","Carl Andersen","55","50 and above","VIP","2013-05-21","143","3","121320","60","4","26","40440","4666.1538461538461538"
59,"AW00011058","Marc Diaz","60","50 and above","VIP","2013-06-04","142","3","123720","90","6","26","41240","4758.4615384615384615"
60,"AW00011059","Ashlee Andersen","65","50 and above","New","2013-03-16","145","3","1755","105","6","0","585","1755"
61,"AW00011060","Jon Zhou","65","50 and above","VIP","2013-06-25","142","3","122295","90","6","27","40765","4529.4444444444444444"
62,"AW00011061","Todd Gao","49","40-49","VIP","2013-06-14","142","3","121935","90","6","27","40645","4516.1111111111111111"
63,"AW00011062","Noah Powell","44","40-49","New","2013-01-07","147","1","35280","45","3","0","35280","35280"
64,"AW00011063","Angela Murphy","44","40-49","New","2013-01-12","147","1","35595","75","5","0","35595","35595"
65,"AW00011064","Chase Reed","43","40-49","New","2013-01-25","147","1","34575","30","2","0","34575","34575"
66,"AW00011065","Jessica Henderson","46","40-49","New","2014-01-10","135","2","3030","75","4","11","1515","275.4545454545454545"
67,"AW00011066","Grace Butler","45","40-49","New","2013-09-19","139","2","1215","75","5","3","607","405.0000000000000000"
68,"AW00011067","Caleb Carter","43","40-49","New","2014-01-12","135","2","1575","90","6","4","787","393.7500000000000000"
69,"AW00011068","Tiffany Liang","58","50 and above","New","2013-10-08","138","3","1695","135","8","5","565","339.0000000000000000"
70,"AW00011069","Carolyn Navarro","58","50 and above","VIP","2013-06-04","142","3","121560","45","3","25","40520","4862.4000000000000000"
71,"AW00011070","Willie Raji","64","50 and above","VIP","2013-06-26","142","3","122475","150","9","25","40825","4899.0000000000000000"
72,"AW00011071","Linda Serrano","64","50 and above","New","2013-12-01","136","3","1650","105","6","9","550","183.3333333333333333"
73,"AW00011072","Casey Luo","64","50 and above","VIP","2013-06-15","142","3","122910","105","7","26","40970","4727.3076923076923077"
74,"AW00011073","Amy Ye","63","50 and above","New","2013-08-21","140","3","2880","150","9","4","960","720.0000000000000000"
75,"AW00011074","Levi Arun","63","50 and above","New","2013-05-27","143","3","1410","105","7","2","470","705.0000000000000000"
76,"AW00011075","Felicia Jimenez","61","50 and above","VIP","2013-06-24","142","3","121020","75","5","25","40340","4840.8000000000000000"
77,"AW00011076","Blake Anderson","62","50 and above","VIP","2013-06-21","142","3","122385","60","4","26","40795","4707.1153846153846154"
78,"AW00011077","Leah Ye","62","50 and above","VIP","2013-06-12","142","3","122535","75","5","25","40845","4901.4000000000000000"
79,"AW00011078","Gina Martin","40","40-49","New","2014-01-28","135","17","13680","465","23","11","804","1243.6363636363636364"
80,"AW00011079","Donald Gonzalez","55","50 and above","New","2014-01-01","135","3","870","75","5","9","290","96.6666666666666667"
81,"AW00011080","Damien Chander","60","50 and above","VIP","2013-06-23","142","3","123060","105","7","26","41020","4733.0769230769230769"
82,"AW00011081","Savannah Baker","53","50 and above","New","2013-04-13","144","2","1560","75","5","2","780","780.0000000000000000"
83,"AW00011082","Angela Butler","53","50 and above","New","2013-11-06","137","2","46650","90","6","9","23325","5183.3333333333333333"
84,"AW00011083","Alyssa Cox","48","40-49","New","2013-11-08","137","2","47055","75","5","10","23527","4705.5000000000000000"
85,"AW00011084","Lucas Phillips","62","50 and above","New","2013-11-21","137","2","46170","75","5","10","23085","4617.0000000000000000"
86,"AW00011085","Emily Johnson","62","50 and above","New","2014-01-08","135","2","1935","75","5","1","967","1935.0000000000000000"
87,"AW00011086","Ryan Brown","61","50 and above","New","2013-12-21","136","2","2295","90","6","5","1147","459.0000000000000000"
88,"AW00011087","Tamara Liang","62","50 and above","New","2013-08-09","140","2","3000","60","4","5","1500","600.0000000000000000"
89,"AW00011088","Hunter Davis","61","50 and above","New","2013-11-12","137","2","47640","105","7","9","23820","5293.3333333333333333"
90,"AW00011089","Abigail Price","62","50 and above","New","2013-11-18","137","2","47820","105","7","10","23910","4782.0000000000000000"
91,"AW00011090","Trevor Bryant","56","50 and above","VIP","2013-11-21","137","3","100545","90","6","27","33515","3723.8888888888888889"
92,"AW00011091","Dalton Perez","62","50 and above","New","2014-01-08","135","28","17790","885","25","11","635","1617.2727272727272727"
93,"AW00011092","Cheryl Diaz","52","50 and above","VIP","2013-06-21","142","3","121650","75","5","26","40550","4678.8461538461538462"
94,"AW00011093","Aimee He","46","40-49","VIP","2013-06-08","142","3","122700","105","7","26","40900","4719.2307692307692308"
95,"AW00011094","Cedric Ma","57","50 and above","New","2014-01-11","135","3","3540","120","8","9","1180","393.3333333333333333"
96,"AW00011095","Chad Kumar","57","50 and above","VIP","2013-06-25","142","3","122370","105","7","26","40790","4706.5384615384615385"
97,"AW00011096","Andr├®s Anand","57","50 and above","VIP","2013-07-30","141","3","120945","60","4","27","40315","4479.4444444444444444"
98,"AW00011097","Edwin Nara","52","50 and above","VIP","2013-07-24","141","3","121485","75","5","27","40495","4499.4444444444444444"
99,"AW00011098","Mallory Rubio","58","50 and above","New","2013-10-16","138","3","1335","60","4","8","445","166.8750000000000000"
100,"AW00011099","Adam Ross","58","50 and above","VIP","2013-07-01","141","3","123240","135","8","26","41080","4740.0000000000000000"
101,"AW00011100","Latasha Navarro","59","50 and above","VIP","2013-08-07","140","3","122580","105","7","27","40860","4540.0000000000000000"
102,"AW00011101","Abby Sai","54","50 and above","VIP","2013-06-29","142","3","123930","105","7","26","41310","4766.5384615384615385"
103,"AW00011102","Julia Nelson","54","50 and above","New","2013-12-09","136","3","1545","75","5","4","515","386.2500000000000000"
104,"AW00011103","Cassie Chande","44","40-49","VIP","2013-06-06","142","3","122730","120","8","25","40910","4909.2000000000000000"
105,"AW00011104","Edgar Sara","50","50 and above","VIP","2013-06-15","142","3","122595","90","6","25","40865","4903.8000000000000000"
106,"AW00011105","Candace Fernandez","54","50 and above","VIP","2013-06-05","142","3","121440","75","5","24","40480","5060.0000000000000000"
107,"AW00011106","Jessie Liu","55","50 and above","VIP","2013-06-15","142","3","121185","45","3","24","40395","5049.3750000000000000"
108,"AW00011107","Bianca Lin","49","40-49","VIP","2013-06-21","142","3","122565","90","6","25","40855","4902.6000000000000000"
109,"AW00011108","Kari Alvarez","56","50 and above","VIP","2013-06-23","142","3","121860","75","5","25","40620","4874.4000000000000000"
110,"AW00011109","Ruben Kapoor","45","40-49","VIP","2013-06-24","142","3","123675","120","8","25","41225","4947.0000000000000000"
111,"AW00011110","Curtis Yang","57","50 and above","VIP","2013-08-20","140","3","121395","75","5","27","40465","4496.1111111111111111"
112,"AW00011111","Meredith Gutierrez","57","50 and above","VIP","2013-08-22","140","3","122055","120","8","27","40685","4520.5555555555555556"
113,"AW00011112","Crystal Wang","57","50 and above","VIP","2013-09-02","139","3","124425","90","6","27","41475","4608.3333333333333333"
114,"AW00011113","Micheal Blanco","52","50 and above","New","2013-04-21","144","3","1650","105","7","2","550","825.0000000000000000"
115,"AW00011114","Leslie Moreno","57","50 and above","New","2013-12-26","136","3","1845","105","6","9","615","205.0000000000000000"
116,"AW00011115","Alvin Cai","57","50 and above","New","2014-01-02","135","3","1710","90","6","10","570","171.0000000000000000"
117,"AW00011116","Clinton Carlson","46","40-49","New","2013-10-16","138","3","2235","105","7","7","745","319.2857142857142857"
118,"AW00011117","April Deng","58","50 and above","VIP","2013-06-25","142","3","122775","120","8","25","40925","4911.0000000000000000"
119,"AW00011118","Alvin Zeng","62","50 and above","New","2014-01-26","135","3","1860","120","6","6","620","310.0000000000000000"
120,"AW00011119","Evan James","84","50 and above","New","2013-11-23","137","2","1275","60","4","9","637","141.6666666666666667"
121,"AW00011120","Beth Jim├®nez","83","50 and above","VIP","2013-09-19","139","3","123630","150","10","28","41210","4415.3571428571428571"
122,"AW00011121","Orlando Suarez","58","50 and above","New","2013-11-04","137","3","870","90","5","4","290","217.5000000000000000"
123,"AW00011122","Byron Vazquez","59","50 and above","New","2013-08-22","140","3","645","45","3","6","215","107.5000000000000000"
124,"AW00011123","Philip Alvarez","59","50 and above","New","2014-01-25","135","3","2250","120","7","9","750","250.0000000000000000"
125,"AW00011124","Ross Jordan","56","50 and above","VIP","2013-06-18","142","3","121935","90","6","25","40645","4877.4000000000000000"
126,"AW00011125","Dana Navarro","63","50 and above","New","2013-07-03","141","3","1185","105","7","5","395","237.0000000000000000"
127,"AW00011126","Shaun Carson","70","50 and above","VIP","2013-11-03","137","3","74565","120","7","29","24855","2571.2068965517241379"
128,"AW00011127","Jan Edwards","44","40-49","New","2013-10-01","138","2","660","45","3","5","330","132.0000000000000000"
129,"AW00011128","Samantha Long","43","40-49","New","2013-08-12","140","2","2160","105","7","1","1080","2160.0000000000000000"
130,"AW00011129","Julia Wright","44","40-49","VIP","2013-01-09","147","2","88095","30","2","17","44047","5182.0588235294117647"
131,"AW00011130","Caroline Russell","39","30-39","New","2013-12-09","136","1","555","30","2","0","555","555"
132,"AW00011131","Amanda Rivera","39","30-39","New","2014-01-23","135","5","2490","135","9","3","498","830.0000000000000000"
133,"AW00011132","Melissa Richardson","39","30-39","New","2013-04-09","144","1","35580","90","6","0","35580","35580"
134,"AW00011133","Angela Griffin","39","30-39","New","2013-12-30","136","1","1080","60","4","0","1080","1080"
135,"AW00011134","Larry Townsend","68","50 and above","VIP","2013-11-03","137","3","73665","45","3","30","24555","2455.5000000000000000"
136,"AW00011135","Marcus Harris","39","30-39","New","2013-04-18","144","1","35025","45","3","0","35025","35025"
137,"AW00011136","Brianna Morgan","41","40-49","New","2013-01-03","147","1","35715","45","3","0","35715","35715"
138,"AW00011137","Jasmine Taylor","41","40-49","New","2014-01-20","135","2","3030","75","4","5","1515","606.0000000000000000"
139,"AW00011138","Lauren Davis","41","40-49","New","2013-12-31","135","2","1185","60","4","3","592","395.0000000000000000"
140,"AW00011139","Tanya Moreno","75","50 and above","New","2013-10-17","138","2","1260","45","3","1","630","1260.0000000000000000"
141,"AW00011140","Javier Alvarez","42","40-49","New","2013-03-19","145","1","600","30","2","0","600","600"
142,"AW00011141","Nicole Ramirez","42","40-49","New","2013-09-28","139","2","1710","75","5","4","855","427.5000000000000000"
143,"AW00011142","Eduardo Patterson","42","40-49","New","2014-01-13","135","17","14685","540","23","11","863","1335.0000000000000000"
144,"AW00011143","Jonathan Henderson","42","40-49","New","2013-12-19","136","2","720","75","4","6","360","120.0000000000000000"
145,"AW00011144","Edward Hernandez","40","40-49","New","2013-01-25","147","1","36000","45","3","0","36000","36000"
146,"AW00011145","Jasmine Coleman","39","30-39","New","2013-01-25","147","1","34650","45","3","0","34650","34650"
147,"AW00011146","Karla Goel","80","50 and above","New","2013-09-15","139","3","1695","105","6","7","565","242.1428571428571429"
148,"AW00011147","Ernest Wu","80","50 and above","VIP","2013-10-16","138","3","122925","105","7","29","40975","4238.7931034482758621"
149,"AW00011148","Ross Vazquez","78","50 and above","New","2013-12-03","136","3","1890","90","5","8","630","236.2500000000000000"
150,"AW00011149","Theodore Gill","78","50 and above","New","2013-11-29","137","3","615","60","4","5","205","123.0000000000000000"
151,"AW00011150","Russell Shen","78","50 and above","New","2013-07-15","141","3","2880","120","7","3","960","960.0000000000000000"
152,"AW00011151","Melinda Gill","77","50 and above","VIP","2013-10-20","138","3","121305","90","6","29","40435","4182.9310344827586207"
153,"AW00011152","James Williams","43","40-49","New","2013-01-09","147","1","34425","15","1","0","34425","34425"
154,"AW00011153","Angela James","43","40-49","New","2013-03-29","145","2","1650","75","5","0","825","1650"
155,"AW00011154","Megan Walker","43","40-49","New","2013-01-10","147","1","34800","15","1","0","34800","34800"
156,"AW00011155","Hunter Robinson","43","40-49","New","2013-01-06","147","1","34800","15","1","0","34800","34800"
157,"AW00011156","Maria Roberts","43","40-49","New","2013-01-08","147","1","35850","60","4","0","35850","35850"
158,"AW00011157","Hannah Long","44","40-49","New","2013-09-11","139","2","615","45","3","1","307","615.0000000000000000"
159,"AW00011158","Jason Wright","44","40-49","New","2013-01-19","147","1","35940","45","3","0","35940","35940"
160,"AW00011159","Brianna Hughes","44","40-49","New","2013-11-07","137","2","720","75","4","1","360","720.0000000000000000"
161,"AW00011160","Maurice Tang","45","40-49","New","2013-02-21","146","1","34830","30","2","0","34830","34830"
162,"AW00011161","Emily Wood","45","40-49","New","2013-11-11","137","2","1410","90","6","5","705","282.0000000000000000"
163,"AW00011162","Chase Cox","45","40-49","New","2013-02-18","146","1","34950","30","2","0","34950","34950"
164,"AW00011163","Gabriel Wang","44","40-49","New","2013-08-05","140","2","690","60","4","3","345","230.0000000000000000"
165,"AW00011164","Devin Brooks","45","40-49","New","2013-08-05","140","2","2175","90","6","3","1087","725.0000000000000000"
166,"AW00011165","Jocelyn Alexander","46","40-49","New","2013-06-05","142","2","1545","45","3","0","772","1545"
167,"AW00011166","Ashley Martinez","47","40-49","New","2013-12-06","136","2","1320","75","5","1","660","1320.0000000000000000"
168,"AW00011167","Jasmine Barnes","47","40-49","New","2013-11-28","137","2","46890","60","4","10","23445","4689.0000000000000000"
169,"AW00011168","David Rodriguez","51","50 and above","New","2013-11-16","137","2","47040","105","7","10","23520","4704.0000000000000000"
170,"AW00011169","Bryce Richardson","51","50 and above","New","2013-09-24","139","2","1215","75","5","3","607","405.0000000000000000"
171,"AW00011170","Carol Howard","51","50 and above","New","2013-12-29","136","2","2355","105","7","4","1177","588.7500000000000000"
172,"AW00011171","Jonathan Hill","46","40-49","VIP","2013-11-07","137","3","100740","120","8","26","33580","3874.6153846153846154"
173,"AW00011172","Gabrielle Adams","51","50 and above","New","2014-01-11","135","2","1935","105","6","8","967","241.8750000000000000"
174,"AW00011173","Sarah Thomas","52","50 and above","New","2013-12-24","136","2","1545","45","3","9","772","171.6666666666666667"
175,"AW00011174","Nicholas Robinson","52","50 and above","New","2013-07-25","141","2","720","75","4","0","360","720"
176,"AW00011175","Luis Wang","56","50 and above","VIP","2013-11-03","137","3","100650","120","8","26","33550","3871.1538461538461538"
177,"AW00011176","Mason Roberts","46","40-49","New","2014-01-27","135","28","19755","900","27","11","705","1795.9090909090909091"
178,"AW00011177","Jose Flores","77","50 and above","New","2013-10-14","138","2","2025","90","6","6","1012","337.5000000000000000"
179,"AW00011178","Nathan Johnson","70","50 and above","New","2013-05-26","143","2","2175","90","6","3","1087","725.0000000000000000"
180,"AW00011179","Molly Rodriguez","65","50 and above","New","2014-01-09","135","2","1875","90","6","9","937","208.3333333333333333"
181,"AW00011180","April Anand","76","50 and above","New","2013-09-25","139","2","2070","90","6","6","1035","345.0000000000000000"
182,"AW00011181","Devin Martin","65","50 and above","New","2013-07-11","141","2","615","45","3","2","307","307.5000000000000000"
183,"AW00011182","Stephanie Torres","75","50 and above","New","2014-01-05","135","2","1215","75","5","4","607","303.7500000000000000"
184,"AW00011183","Jasmine Lee","75","50 and above","New","2013-06-13","142","2","690","60","4","1","345","690.0000000000000000"
185,"AW00011184","Meghan Hernandez","69","50 and above","New","2013-10-09","138","2","1020","75","5","1","510","1020.0000000000000000"
186,"AW00011185","Ashley Henderson","75","50 and above","New","2014-01-26","135","27","24240","1020","29","11","897","2203.6363636363636364"
187,"AW00011186","Sarah Price","75","50 and above","New","2014-01-07","135","2","615","45","3","2","307","307.5000000000000000"
188,"AW00011187","Jennifer Cooper","75","50 and above","New","2013-08-06","140","2","1620","60","4","4","810","405.0000000000000000"
189,"AW00011188","Catherine Morris","75","50 and above","New","2014-01-21","135","2","1215","75","5","2","607","607.5000000000000000"
190,"AW00011189","Lawrence Blanco","75","50 and above","VIP","2013-02-05","146","2","89160","90","6","17","44580","5244.7058823529411765"
191,"AW00011190","Carson Bryant","75","50 and above","New","2014-01-16","135","2","690","60","4","4","345","172.5000000000000000"
192,"AW00011191","Kristi Perez","73","50 and above","VIP","2013-11-06","137","3","101145","105","7","26","33715","3890.1923076923076923"
193,"AW00011192","James Brown","74","50 and above","New","2013-09-25","139","2","1710","75","5","3","855","570.0000000000000000"
194,"AW00011193","Ian Gray","74","50 and above","New","2013-08-18","140","2","615","45","3","5","307","123.0000000000000000"
195,"AW00011194","Jacqueline Price","74","50 and above","New","2013-12-08","136","2","1575","90","6","8","787","196.8750000000000000"
196,"AW00011195","Megan Henderson","73","50 and above","New","2013-10-22","138","2","1575","90","6","6","787","262.5000000000000000"
197,"AW00011196","Alfredo Romero","73","50 and above","New","2013-09-24","139","2","2430","60","4","6","1215","405.0000000000000000"
198,"AW00011197","Andrea Morris","73","50 and above","New","2013-07-20","141","2","3105","90","5","2","1552","1552.5000000000000000"
199,"AW00011198","Brooke Sanders","72","50 and above","New","2013-02-13","146","2","1470","60","4","0","735","1470"
200,"AW00011199","Jacqueline Bennett","67","50 and above","New","2013-10-17","138","2","1980","90","6","6","990","330.0000000000000000"
201,"AW00011200","Jason Griffin","71","50 and above","New","2014-01-20","135","27","21915","825","26","11","811","1992.2727272727272727"
202,"AW00011201","Amanda Foster","72","50 and above","New","2013-09-09","139","2","2715","90","6","2","1357","1357.5000000000000000"
203,"AW00011202","Alexia Price","66","50 and above","New","2013-09-21","139","2","1110","45","3","0","555","1110"
204,"AW00011203","Luis Diaz","65","50 and above","New","2013-12-11","136","17","12000","480","19","9","705","1333.3333333333333333"
205,"AW00011204","Destiny Rivera","71","50 and above","New","2013-11-10","137","2","1155","60","4","3","577","385.0000000000000000"
206,"AW00011205","Abby Fernandez","71","50 and above","New","2013-10-08","138","2","555","30","2","2","277","277.5000000000000000"
207,"AW00011206","Blake Flores","71","50 and above","New","2013-05-30","143","2","1155","60","4","0","577","1155"
208,"AW00011207","Danielle Cox","71","50 and above","New","2013-10-18","138","2","1155","60","4","8","577","144.3750000000000000"
209,"AW00011208","Maria Reed","71","50 and above","New","2013-09-17","139","2","2010","105","7","6","1005","335.0000000000000000"
210,"AW00011209","Allison Evans","71","50 and above","New","2014-01-22","135","2","555","30","2","9","277","61.6666666666666667"
211,"AW00011210","Edward Wood","71","50 and above","New","2013-09-06","139","2","1050","75","5","4","525","262.5000000000000000"
212,"AW00011211","Samantha Russell","64","50 and above","New","2014-01-07","135","17","11880","495","22","11","698","1080.0000000000000000"
213,"AW00011212","Chloe Campbell","69","50 and above","New","2014-01-17","135","17","12360","495","20","11","727","1123.6363636363636364"
214,"AW00011213","Stephanie Murphy","70","50 and above","New","2013-09-09","139","2","1155","60","4","5","577","231.0000000000000000"
215,"AW00011214","Charles Miller","69","50 and above","New","2013-11-19","137","2","2430","60","4","3","1215","810.0000000000000000"
216,"AW00011215","Ana Perry","63","50 and above","New","2013-12-15","136","17","17310","480","21","10","1018","1731.0000000000000000"
217,"AW00011216","Jasmine Torres","69","50 and above","VIP","2013-02-05","146","2","89220","75","5","17","44610","5248.2352941176470588"
218,"AW00011217","Natalie Adams","69","50 and above","VIP","2013-02-14","146","2","89295","45","3","18","44647","4960.8333333333333333"
219,"AW00011218","Olivia Brown","63","50 and above","New","2014-01-04","135","2","585","45","2","10","292","58.5000000000000000"
220,"AW00011219","Charles Cook","68","50 and above","New","2014-01-24","135","2","585","45","2","2","292","292.5000000000000000"
221,"AW00011220","Erica Huang","64","50 and above","New","2013-12-13","136","2","750","60","4","8","375","93.7500000000000000"
222,"AW00011221","Nathan Perry","69","50 and above","New","2013-10-17","138","2","690","60","4","6","345","115.0000000000000000"
223,"AW00011222","Alexandra Rivera","69","50 and above","New","2013-11-28","137","2","3120","90","6","0","1560","3120"
224,"AW00011223","Hailey Patterson","68","50 and above","New","2014-01-06","135","27","19395","975","26","11","718","1763.1818181818181818"
225,"AW00011224","Tiffany Li","68","50 and above","VIP","2013-12-03","136","3","100275","75","5","27","33425","3713.8888888888888889"
226,"AW00011225","Madison Lee","63","50 and above","New","2013-09-06","139","2","1095","75","5","2","547","547.5000000000000000"
227,"AW00011226","Sydney Ross","62","50 and above","New","2013-03-31","144","2","555","30","2","1","277","555.0000000000000000"
228,"AW00011227","Marshall Chavez","62","50 and above","VIP","2013-02-10","146","2","88650","75","5","18","44325","4925.0000000000000000"
229,"AW00011228","Ashley Jones","68","50 and above","New","2014-01-17","135","2","1155","60","4","2","577","577.5000000000000000"
230,"AW00011229","Adrian Stewart","67","50 and above","New","2014-01-25","135","2","1215","75","5","5","607","243.0000000000000000"
231,"AW00011230","Amber Turner","68","50 and above","New","2013-12-09","136","2","810","75","5","4","405","202.5000000000000000"
232,"AW00011231","Dennis Zhang","61","50 and above","New","2013-11-12","137","2","960","60","4","9","480","106.6666666666666667"
233,"AW00011232","Hailey Bryant","67","50 and above","New","2013-11-13","137","2","585","45","2","1","292","585.0000000000000000"
234,"AW00011233","Todd Li","61","50 and above","New","2013-06-08","142","2","2685","105","7","4","1342","671.2500000000000000"
235,"AW00011234","Anna Griffin","66","50 and above","New","2013-09-19","139","2","1140","60","4","7","570","162.8571428571428571"
236,"AW00011235","Angel Stewart","67","50 and above","New","2014-01-05","135","2","2070","90","5","6","1035","345.0000000000000000"
